,listing_url,last_scraped,host_since,zipcode,room_type,accommodates,bathrooms_text,bedrooms,beds,amenities_cat,amenities_count,minimum_nights,maximum_nights,instant_bookable,availability_365,price,latitude,longitude,years_in_business,revenue,revenue_per_accommodates
737,https://www.airbnb.com/rooms/14011625,2023-03-25,2015-12-08,98103.0,Entire home/apt,2,1.0,,2.0,basic,30,1,60,f,319,90.0,47.67463,-122.33147,7.0,4140.0,2070.0
738,https://www.airbnb.com/rooms/14025287,2023-03-25,2016-06-10,98122.0,Entire home/apt,8,1.5,3.0,4.0,basic,27,3,360,t,114,178.0,47.61522,-122.29831,7.0,44678.0,5584.75
739,https://www.airbnb.com/rooms/14042945,2023-03-25,2016-03-20,98103.0,Entire home/apt,2,1.0,1.0,2.0,basic,30,30,1125,f,337,104.0,47.66169,-122.34127,7.0,2912.0,1456.0
740,https://www.airbnb.com/rooms/14049107,2023-03-25,2015-06-22,98105.0,Private room,2,1.0,1.0,1.0,basic,28,1,1125,f,280,85.0,47.65979,-122.27697,8.0,7225.0,3612.5
741,https://www.airbnb.com/rooms/14070994,2023-03-25,2012-06-26,98107.0,Entire home/apt,4,1.0,1.0,2.0,moderate,50,2,1125,f,293,138.0,47.65864,-122.36143,11.0,9936.0,2484.0
742,https://www.airbnb.com/rooms/14084566,2023-03-25,2015-12-05,98144.0,Private room,2,1.0,1.0,1.0,basic,11,1,30,f,250,100.0,47.58583,-122.29436,7.0,11500.0,5750.0
743,https://www.airbnb.com/rooms/14103694,2023-03-25,2013-10-10,,Entire home/apt,6,1.0,2.0,2.0,moderate,41,3,1125,f,168,199.0,47.60968,-122.30479,9.0,39203.0,6533.833333333333
744,https://www.airbnb.com/rooms/14108275,2023-03-25,2013-01-21,98103.0,Entire home/apt,4,1.0,2.0,2.0,moderate,61,2,28,f,118,99.0,47.67836,-122.34729,10.0,24453.0,6113.25
745,https://www.airbnb.com/rooms/14108770,2023-03-25,2016-06-03,98112.0,Entire home/apt,2,1.0,,1.0,basic,31,3,45,t,2,77.0,47.64581,-122.30807,7.0,27951.0,13975.5
746,https://www.airbnb.com/rooms/14128202,2023-03-25,2013-08-04,98103.0,Private room,2,1.5,1.0,1.0,basic,25,2,1125,f,0,92.0,47.65325,-122.35502,10.0,33580.0,16790.0
747,https://www.airbnb.com/rooms/14133989,2023-03-25,2016-07-21,98103.0,Private room,1,2.0,1.0,1.0,moderate,44,30,1125,t,333,59.0,47.66181,-122.35194,7.0,1888.0,1888.0
748,https://www.airbnb.com/rooms/14166071,2023-03-25,2015-07-22,98103.0,Entire home/apt,4,1.0,1.0,2.0,basic,34,4,1125,f,226,99.0,47.69654,-122.35137,8.0,13761.0,3440.25
749,https://www.airbnb.com/rooms/14166842,2023-03-25,2016-07-24,98109.0,Private room,2,1.0,1.0,1.0,moderate,47,1,1125,t,79,79.0,47.63895,-122.34742,7.0,22594.0,11297.0
750,https://www.airbnb.com/rooms/14167055,2023-03-25,2015-09-03,98199.0,Private room,2,1.0,1.0,1.0,basic,16,30,1125,f,89,98.0,47.64644,-122.39376,8.0,27048.0,13524.0
751,https://www.airbnb.com/rooms/14183117,2023-03-25,2012-07-27,98105.0,Entire home/apt,2,1.0,1.0,1.0,basic,37,1,1125,f,221,115.0,47.66293,-122.31369,11.0,16560.0,8280.0
752,https://www.airbnb.com/rooms/14186845,2023-03-25,2014-12-19,98119.0,Entire home/apt,2,1.0,,1.0,basic,31,2,30,f,254,111.0,47.63461,-122.36677,8.0,12321.0,6160.5
753,https://www.airbnb.com/rooms/14187192,2023-03-25,2014-07-26,98121.0,Entire home/apt,2,1.0,,1.0,basic,33,2,32,t,295,136.0,47.61535,-122.34131,9.0,9520.0,4760.0
754,https://www.airbnb.com/rooms/14201915,2023-03-25,2016-07-26,98118.0,Private room,2,1.0,1.0,1.0,moderate,61,3,125,t,350,85.0,47.56564,-122.26987,7.0,1275.0,637.5
